appid,name,developer,categories,genres,steamspy_tags
219150,Hotline Miami,Dennaton Games,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Great Soundtrack;Action;Violent
219190,Ultratron,Puppygames,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Arcade
219200,Droid Assault,Puppygames,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Arcade
219340,The Banner Saga: Factions,Stoic,Multi-player;Cross-Platform Multiplayer,Free to Play;Indie;RPG;Strategy,Free to Play;Strategy;RPG
219640,Chivalry: Medieval Warfare,Torn Banner Studios,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor,Action;Indie,Medieval;Multiplayer;Action
219680,Proteus,Ed Key and David Kanaga,Single-player;Full controller support,Adventure;Casual;Indie,Exploration;Relaxing;Walking Simulator
219700,Dogs of War Online,Cyanide Studio,Multi-player;Steam Trading Cards,Free to Play;Strategy,Free to Play;Strategy;Turn-Based Strategy
219760,Beyond Divinity,Larian Studios,Single-player,RPG,RPG;Singleplayer;Isometric
219780,Divinity II: Developer's Cut,Larian Studios,Single-player,RPG,RPG;Fantasy;Open World
219830,King Arthur's Gold,Transhuman Design,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor,Action;Free to Play;Indie,Action;Multiplayer;2D
219890,Antichamber,Alexander Bruce,Single-player;Steam Trading Cards,Adventure;Indie,Puzzle;First-Person;Indie
219910,Edna & Harvey: Harvey's New Eyes,Daedalic Entertainment,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Point & Click;Adventure;Dark Humor
219950,NiGHTS Into Dreams,SEGA,Single-player;Steam Achievements;Partial Controller Support,Adventure,Adventure;Classic;Great Soundtrack
